id,Class,sepal length,sepal width,petal length,petal width
1,Iris-setosa,4.8,3.3,1.2,0.2
2,Iris-setosa,4.9,3.0,1.4,0.2
3,Iris-setosa,4.7,3.2,1.3,0.2
4,Iris-setosa,4.6,3.1,1.5,0.2
5,Iris-setosa,5.0,3.6,1.4,0.2
51,Iris-versicolor,7.0,3.2,4.7,1.4
52,Iris-versicolor,6.4,3.2,4.5,1.5
53,Iris-versicolor,6.9,3.1,4.9,1.5
54,Iris-versicolor,5.5,2.3,4.0,1.3
55,Iris-versicolor,6.5,2.8,4.6,1.5
101,Iris-virginica,6.3,3.3,6.0,2.5
102,Iris-virginica,5.8,2.7,5.1,1.9
103,Iris-virginica,7.1,3.0,5.9,2.1
104,Iris-virginica,6.3,2.9,5.6,1.8
105,Iris-virginica,6.5,3.0,5.8,2.2
